id,price
188533,16844.010336767617
188534,74002.82737937683
188535,57628.90347018439
188536,32703.81342836477
188537,29781.88490550004
188538,17796.434763008394
188539,11397.19353584113
188540,51598.495708941766
188541,87466.9573695371
188542,34182.35914616847
188543,26682.18450854146
188544,10350.371106840668
188545,60083.75339117517
188546,114787.46442064711
188547,16353.80418590151
188548,105038.72401193136
188549,21568.966559626617
188550,9177.27929840372
188551,79389.31073582648
188552,59477.85199865832
188553,72579.64111431959
188554,21923.63693014504
188555,39605.28747460786
188556,20008.20027364047
188557,20788.036902408956
188558,76642.40352835521
188559,25313.063074995633
188560,15206.616222211424
188561,75358.43620149008
188562,25820.60660756078
188563,93492.46110284759
188564,49779.86584213956
188565,46502.57846913325
188566,32783.022695277745
188567,14280.111488374872
188568,48699.56816766401
188569,19142.566344347422
188570,15745.552655440912
188571,38855.69178717218
188572,98367.88107137871
188573,31887.14676102949
188574,33750.20509910194
188575,43907.13314519958
188576,31445.26740408207
188577,10749.211110669246
188578,35171.814897643
188579,44093.95906949749
188580,36262.97836566434
188581,88302.73279665281
188582,29158.288188526152
188583,96399.68618293226
188584,34326.35338177494
188585,39653.44210055913
188586,35125.5397197663
188587,60822.43210316844
188588,27756.53868711931
188589,12315.629936241026
188590,31390.98091993256
188591,28940.475286440385
188592,39602.952573756076
188593,34031.860340515224
188594,72719.6831224681
188595,25699.741116195306
188596,45541.03033359979
188597,29174.594989033394
188598,25539.451901755336
188599,10752.811638417521
188600,65357.20372887409
188601,55041.24007853504
188602,32900.28864565277
188603,161454.1906122222
188604,11137.831408204194
188605,48484.74915425441
188606,35936.366890127836
188607,69659.92465051317
188608,11542.72334881546
188609,53614.143215390075
188610,49792.56090181253
188611,19440.113819072292
188612,78403.86660065716
188613,23860.814848159993
188614,18069.59002237639
188615,32693.81618155102
188616,101443.04375759172
188617,44349.832432121984
188618,27756.846058895597
188619,81543.55357937777
188620,26643.810398931833
188621,23886.115215005473
188622,82319.23177502998
188623,55983.369380039476
188624,45254.74759009826
188625,30857.78716180955
188626,18899.102278931194
188627,112014.69567107932
188628,79319.70886992944
188629,26544.79061761431
188630,29689.767400185337
188631,61385.44668952688
188632,50737.47371089301
188633,59423.58371376894
188634,9890.18672589799
188635,32204.939560574127
188636,50421.940939060776
188637,10814.482011783826
188638,36655.05430248847
188639,25114.02744163219
188640,11667.079952422184
188641,25345.61089004273
188642,10983.358718378176
188643,98259.80434832706
188644,88188.25834848851
188645,59793.50297120029
